Last updated:   08/20/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,ISO3,Population,"Secured Vaccine, Before Adjustment (millions of courses)",Adjustment (millions of courses),Secured Vaccine (millions of courses),Vaccine Needed to Reach 60% of Population (millions of courses),Bilateral Deals (millions of courses),Donations (millions of courses),COVAX donations (millions of courses),COVAX AMC/SFP (millions of courses),EU Deal (millions of courses),Other sources (millions of courses),Domestic Supply (millions of courses),"Secured Vaccine, Before Adjustment (% of population)",Adjustment (% of population),Secured Vaccine (% of population),Vaccine Needed to Reach 60% of Population (% of population),Bilateral Deals (% of population),Donations (% of population),COVAX donations (% of population),COVAX AMC/SFP (% of population),EU Deal (% of population),Other sources (% of population),Domestic Supply (% of population)
Brazil,BRA,212559409,334,-71,263,0,326,3,0,5,0,0,,157,-33,124,0,153,1,0,2,0,0,
Trinidad and Tobago,TTO,1399491,2,0,2,0,1,0,0,0,0,1,,123,0,123,0,54,6,0,6,0,57,
Fiji,FJI,896444,1,0,1,0,0,1,0,0,0,0,,117,6,122,0,0,84,3,30,0,0,
Morocco,MAR,36910558,44,1,45,0,33,0,0,11,0,0,,120,1,122,0,89,0,1,30,0,0,
Lesotho,LSO,2142252,3,0,3,0,0,0,0,1,0,2,,117,2,119,0,0,0,15,30,0,72,
Peru,PER,32971846,38,1,39,0,35,1,0,2,0,0,,116,3,119,0,107,3,0,6,0,0,
Guyana,GUY,786559,1,0,1,0,0,0,0,0,0,0,,109,6,115,0,51,7,4,30,0,18,
Philippines,PHL,109581085,132,-7,125,0,83,1,3,33,0,12,,120,-6,114,0,75,1,3,30,0,10,
Sri Lanka,LKA,21413250,44,-21,24,0,21,2,1,6,0,15,,207,-96,110,0,98,7,3,30,0,68,
Panama,PAN,4314768,5,0,5,0,4,0,0,0,0,0,,105,0,105,0,94,6,0,6,0,0,
"Egypt, Arab Rep.",EGY,102334403,117,-10,107,0,58,0,1,31,0,27,,114,-10,104,0,56,0,1,30,0,26,
Hong Kong SAR,HKG,7496988,8,0,8,0,8,0,0,0,0,0,,100,0,100,0,100,0,0,0,0,0,
Zimbabwe,ZWE,14862927,15,0,15,0,3,0,0,4,0,7,,98,0,98,0,22,2,0,30,0,45,
Mexico,MEX,128932753,129,-4,125,0,124,1,0,3,0,0,,100,-3,97,0,96,1,0,3,0,0,
Honduras,HND,9904608,8,2,10,0,5,0,0,3,0,0,,81,15,96,0,50,1,0,30,0,0,
Indonesia,IDN,273523621,258,5,263,0,175,1,0,82,0,0,,94,2,96,0,64,0,0,30,0,0,
Guinea-Bissau,GNB,1967998,2,0,2,0,0,0,0,1,0,1,,93,0,93,0,0,0,16,30,0,46,
Bolivia,BOL,11673030,23,-13,11,0,18,0,1,4,0,0,,200,-107,93,0,157,1,12,30,0,0,
Vietnam,VNM,97338583,107,-17,90,0,76,3,0,29,0,0,,110,-18,92,0,78,3,0,30,0,0,
Antigua and Barbuda,ATG,97928,0,0,0,0,0,0,0,0,0,0,,88,0,88,0,0,27,0,21,0,41,
Ghana,GHA,31072945,27,0,27,0,0,0,1,9,0,17,,88,0,88,0,0,0,3,30,0,54,
Mongolia,MNG,3278292,4,-1,3,0,2,0,0,1,0,1,,118,-31,87,0,46,11,0,30,0,31,
North Macedonia,MKD,2083380,2,0,2,0,1,0,0,0,0,1,,84,3,86,0,41,2,0,7,0,34,
Brunei Darussalam,BRN,437483,0,0,0,0,0,0,0,0,0,0,,75,12,86,0,57,6,0,12,0,0,
South Africa,ZAF,59308690,27,24,51,0,22,0,3,3,0,0,,45,40,86,0,36,0,5,4,0,0,
Thailand,THA,69799978,59,0,59,0,58,2,0,0,0,0,,85,0,85,0,82,3,0,0,0,0,
Uzbekistan,UZB,33469199,28,0,28,0,18,0,0,10,0,0,,85,0,85,0,54,0,1,30,0,0,
United Arab Emirates,ARE,9890400,2,7,8,0,2,0,0,0,0,0,,17,66,84,0,16,0,0,1,0,0,
Ecuador,ECU,17643060,20,-6,15,0,13,1,0,1,0,6,,115,-31,83,0,71,6,0,6,0,31,
Jamaica,JAM,2961161,2,0,2,0,0,0,0,0,0,2,,82,0,82,0,0,8,2,6,0,67,
Togo,TGO,8278737,7,0,7,0,0,0,0,2,0,4,,81,0,81,0,0,1,1,30,0,48,
Tuvalu,TUV,11792,0,0,0,0,0,0,0,0,0,0,,50,30,80,0,0,0,20,30,0,0,
Nauru,NRU,10834,0,0,0,0,0,0,0,0,0,0,,79,0,79,0,0,46,0,33,0,0,
Mozambique,MOZ,31255435,25,0,25,0,6,0,0,9,0,9,,79,0,79,0,18,1,1,30,0,30,
Dominica,DMA,71991,0,0,0,0,0,0,0,0,0,0,,79,0,79,0,0,49,0,30,0,0,
Qatar,QAT,2881060,0,2,2,0,0,0,0,0,0,0,,6,73,78,0,0,0,0,6,0,0,
